SETTIMANA,GIORNO,ESERCIZIO,TEMPO,REP,SET,RPE,RECUPERO,NOTE,APPUNTI,
w,Lun (Principale),Sospensioni due mani 20 mm — semiarcuata,7 s,1,4,7.5,3 min tra le serie,"Prensione primaria; ~85% del max stimato (≈40-42 kg rif. su 1RM stacco aggiornato ≈47-49 kg). NB: modalità statica nuova vs il Meso 1 (era stacco dinamico) — Wk1 è anche taratura: l'RPE manda, il kg si adatta. Dita attive, spalle ingaggiate, niente collasso DIP","Sfatto dal weekend, fatto con 15kg",
1,Lun (Principale),Sospensioni svase (Moon hangboard),7 s,1,4,7.5 : ,3 min tra le serie,"Prensione secondaria; ~85% di 30-32 kg = ≈26-27 kg rif.; pollice avvolto, scapole ingaggiate","Sfatto dal weekend, fatto con 18kg",
1,Lun (Principale),Sospensione due mani 20 mm AMRAP @ +25 kg,AMRAP,1,1,10,3 min prima del set,Test di riferimento del meso a +25 kg fissi. Aspettati indicativamente 8-12'' fresh — quello sarà il vero baseline (Wk3 deload Meso 1 → 17'' @ +20 kg). Se cadi <8'' segnalamelo: ricalibro Wk2-3,6'',
,,,,,,,,,,
1,Gio (Complementare),Sospensioni 3 dita stese (back three) su 20 mm,6 s,2,3,7,12 s tra le rip.; 2 min tra le serie,Prensione terziaria; indice/medio/anulare a dita stese; dalla libreria standard,fatto con 18kg,
1,Gio (Complementare),Stacco da terra pinch monobraccio — dx,5-6 s,3,2,6,10 s tra le rip.; 2 min tra le serie,"Mantenimento puro, no progressione; carico rif. ~20 kg (75-80% del max storico ~25 kg); mano dominante",20.5kg,
1,Gio (Complementare),Stacco da terra pinch monobraccio — sx,5-6 s,3,2,6,10 s tra le rip.; 2 min tra le serie,"Mantenimento puro, no progressione; carico rif. ~17-18 kg (75-80% del max storico ~23.5 kg); mano non dominante. Asimmetria reale dx-sx = 1.5 kg dal test Wk5 sess2 Meso 1",18kg,
1,Gio (Complementare),Repeaters 20 mm — semiarcuata (finisher),7 on / 3 off,5,3,6,2 min tra le serie,"Finisher leggero; solo PC o ≤ +5 kg; piccola deviazione di protocollo (repeaters classici 7/3 non in archivio 2024-25); SE il volume del giovedì è eccessivo TAGLIA 1 serie da qui, NON dalle pinze",senza sovraccarico,
,,,,,,,,,,
2,Lun (Principale),Sospensioni due mani 20 mm — semiarcuata,7 s,1,5,8.5,3 min tra le serie,"[ADJUSTED Wk2] Progressione: +1 serie (4→5), poi +1-2 kg vs Wk1 working load (≈16-17 kg rif.). Carichi precedenti (43-45 kg) erano derivati da 1RM stacco dinamico — non validi per modalità statica. RPE manda, il kg si adatta",7';7'';7'';7'';7'',fatto con 18.5kg
2,Lun (Principale),Sospensioni svase (Moon hangboard),7 s,1,5,8.5,3 min tra le serie,[ADJUSTED Wk2] Stessa progressione del 20 mm: +1 serie poi +1-2 kg vs Wk1 working load (≈19-20 kg rif.). Carico precedente (28-29 kg) derivato da calibrazione dinamica errata. RPE manda,7'';7'';7'';7'';7'',oggi sembrano leggeri : fatto con 23.5kg
2,Lun (Principale),Sospensione due mani 20 mm AMRAP @ +25 kg,AMRAP,1,1,10,3 min prima del set,Carico mantenuto a +25 kg per tenere il test confrontabile lungo il mesociclo. Wk1 baseline = 6'' — secondo data point questa settimana per validare la ricalibrazione,12'',
,,,,,,,,,,
2,Gio (Complementare),Sospensioni 3 dita stese (back three) su 20 mm,6 s,2,3,7,12 s tra le rip.; 2 min tra le serie,Volume invariato vs Wk1 — solo la sessione principale progredisce in Wk1→Wk2 : 20kg,2;2;2,
2,Gio (Complementare),Stacco da terra pinch monobraccio — dx,5-6 s,3,3,6,10 s tra le rip.; 2 min tra le serie,Mantenimento; +1 serie vs Wk1 (dose minima per stimolo); carico rif. invariato ~20 kg,3;3;3,19.5kg
2,Gio (Complementare),Stacco da terra pinch monobraccio — sx,5-6 s,3,3,6,10 s tra le rip.; 2 min tra le serie,Mantenimento; +1 serie vs Wk1; carico rif. invariato ~17-18 kg,3;3;3,19.5kg
2,Gio (Complementare),Repeaters 20 mm — semiarcuata (finisher),7 on / 3 off,5,3,6,2 min tra le serie,Volume invariato vs Wk1; se il giovedì pesa troppo TAGLIA 1 serie da qui prima che dalle pinze,5;5;5,BW - duretti RPE percepito 8
,,,,,,,,,,
3,Gio (Picco intensificazione — RELOCATED),Sospensioni due mani 20 mm — semiarcuata,6-7 s,1,4,9,4 min tra le serie,"[RESTRUCTURED Wk3] RELOCATED Lun→Gio perché Mon/Tue sono crag days. 48h da ultimo carico dita (Tue crag) — sufficiente recovery, 48h prima di Sat = no carryover. Picco di carico statico (≈20-21 kg rif. — anchored to Wk2 working 18.5 kg @ RPE 8.5 clean). Recuperi completi; stacco pulito, niente strappi. SCELTA RPE 9 (non 9.5): modalità statica non validata + Meso 2 è accumulo/conversione. RPE manda — se 21 kg viene sotto RPE 9, vai a 22 kg ma NON oltre. SE le dita arrivano da Tue crag fatigued: scendi a 19-20 kg e tieni RPE 8.5",1;1;1;1,
3,Gio (Picco intensificazione — RELOCATED),Sospensioni svase (Moon hangboard),6-7 s,1,3,8.5,4 min tra le serie,[RESTRUCTURED Wk3] RELOCATED Lun→Gio. Picco di carico statico (≈25-26 kg rif. — anchored to Wk2 working 23.5 kg che è risultato 'leggero' = sotto RPE 8.5 vero). 1 serie in meno del 20 mm per limitare CNS sulla prensione secondaria. RPE manda: se 26 kg viene sotto RPE 8.5 vai a 27 kg,1;1;1,
3,Gio (Picco intensificazione — RELOCATED),Sospensione due mani 20 mm AMRAP @ +25 kg,AMRAP,1,1,10,4 min prima del set,"[RESTRUCTURED Wk3] Test di riferimento; +25 kg invariato. Se i max hangs ti hanno lasciato vuoto, salta — l'espressione del massimo carico è la priorità",11'',
,,,,,,,,,,
4,Lun (Scarico — unica sessione),Sospensioni due mani 20 mm — semiarcuata,5-6 s,1,3,6,2-3 min tra le serie,[REVISED Wk4 from Wk2 data] Scarico statico (≈14-15 kg rif. — ≈80% di Wk2 working 18.5 kg); ≈ −40% di volume vs Wk1-2; dissipare fatica senza perdere gli adattamenti; weekend dedicato alla performance in falesia. RPE 6 manda,6'';6'';6'',
4,Lun (Scarico — unica sessione),Sospensioni svase (Moon hangboard),5-6 s,1,3,6,2-3 min tra le serie,"[REVISED Wk4 from Wk2 data] Scarico statico (≈18-19 kg rif. — ≈80% di Wk2 working 23.5 kg); stessa intenzione. Niente back three, niente pinze, niente AMRAP questa settimana. RPE 6 manda",6'';6'';6'',