Week,Day,Exercise,Set,Rep,Load,Note,Rest,REPS LOG,RPE LOG
1,Session (Fri 24 Jul) - LIGHT,Weighted pull-ups,3,4,RPE6 (+8kg),JS-A - 3s eccentric - working load kept but volume cut hard - pull-chain touch only - fingers and skin must be fresh for Sat-Sun outdoor boulder - stop earlier if any heaviness,2min30s,,
1,Session (Fri 24 Jul) - LIGHT,Lock-off hold @ 90°,2,8s per arm,RPE6 (20kg loading pin),JS-A - below 26kg working load on purpose - pattern touch only two days before outdoor weekend,90s,,
1,Session (Fri 24 Jul) - LIGHT,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED (Meso 3 lesson: bolt-on mini-blocks die) - filler during pull-up rests - preps hip turnout for weekend boulder,within JS-A rests,,
1,Session (Fri 24 Jul) - LIGHT,DB bench press,3,8,RPE6 (18kg per side),JS-B - tempo 3-0-1 - 2kg under working load - light by design this week,90s,,
1,Session (Fri 24 Jul) - LIGHT,Diamond push-ups,2,10,RPE6 (BW),JS-B - executable-subset touch - low volume,75s,,
1,Session (Fri 24 Jul) - LIGHT,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests - ankle ROM for heel hooks and high steps on weekend boulder,within JS-B rests,,
1,Session (Fri 24 Jul) - LIGHT,Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-C - no ankle weights this week - lower back flat to floor - arms locked overhead,60s,,
1,Session (Fri 24 Jul) - LIGHT,DB reverse wrist curl (wrist extension),2,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED in main session - forearm extensor balance vs crimping load,60s,,
1,Session (Fri 24 Jul) - LIGHT,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility - inside the session so it actually happens,60s,,
1,Session (Fri 24 Jul) - LIGHT,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - correlates with drop-knee/hip-turn quality,45s,,
1,Session (Fri 24 Jul) - LIGHT,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction active mobility - FRC-style - closes the session,45s,,
,,,,,,,,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Pull-ups (alternating grip: wide pronated / close supinated),3-4,6-8,RPE6-7 (BW),JS-A - OPTIONAL - nothing this week counts as missed - RPE cap 7-7.5 is a CEILING - 3s eccentric - intensity via tempo not load (vs +8kg at home),2min,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Diamond push-ups,3,12,RPE7 (BW),JS-A - unchanged from standard library,90s,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Hollow body hold arms overhead,3,18-20s,RPE7 (BW),JS-B - lower back flat - arms locked overhead,60-75s,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,L-sit tuck (hands on floor),3,10-12s,RPE6-7 (BW),JS-B - travel adaptation - reduced ROM vs DBs at home,60-75s,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-C - antagonist/prevention priority,60s,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Self-resisted wrist extension,3,10 per side,RPE5 (BW),JS-C - opposite-hand resistance - no load available while travelling,45s,,
H1,OPTIONAL travel session (holiday 27 Jul - 2 Aug) - BW + pull-up bar only - 0-2x this week,Cossack squat + 90/90 Hip IR (active),1-2,8 per side + 30s per side,RPE4 (BW),JS-D - fully optional add-on - keeps hip ROM ticking over during holiday - skip freely,45s,,
,,,,,,,,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Pull-ups (alternating grip: wide pronated / close supinated),3-4,6-8,RPE6-7 (BW),JS-A - OPTIONAL - same menu as H1 - RPE cap 7-7.5 is a CEILING - 3s eccentric - it is a holiday,2min,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Diamond push-ups,3,12,RPE7 (BW),JS-A - unchanged from standard library,90s,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Hollow body hold arms overhead,3,18-20s,RPE7 (BW),JS-B - lower back flat - arms locked overhead,60-75s,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,L-sit tuck (hands on floor),3,10-12s,RPE6-7 (BW),JS-B - travel adaptation - reduced ROM vs DBs at home,60-75s,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-C - antagonist/prevention priority,60s,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Self-resisted wrist extension,3,10 per side,RPE5 (BW),JS-C - opposite-hand resistance - no load available while travelling,45s,,
H2,OPTIONAL travel session (holiday 3 - 10 Aug) - BW + pull-up bar only - 0-2x this week,Cossack squat + 90/90 Hip IR (active),1-2,8 per side + 30s per side,RPE4 (BW),JS-D - fully optional add-on - if skipped all holiday nothing is lost - training resumes Tue 11 Aug,45s,,
,,,,,,,,,
2,Session (Fri 14 Aug) - RE-ENTRY,Weighted pull-ups,3,5,RPE7 (+8kg),JS-A - 3s eccentric - working load kept but one set and one rep down vs standard 4x6 - first loaded pull week after 2-week break - RPE7 is a CAP not a floor,2min30s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Lock-off hold @ 90°,2,10s per arm,RPE6.5 (26kg loading pin),JS-A - working load - reduced sets and seconds for re-entry,90s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests,within JS-A rests,,
2,Session (Fri 14 Aug) - RE-ENTRY,DB bench press,3,8,RPE6.5 (18kg per side),JS-B - tempo 3-0-1 - 2kg under working load - full 20kg returns W3,90s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Diamond push-ups,3,10,RPE6.5 (BW),JS-B - executable subset - slightly reduced reps,75s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
2,Session (Fri 14 Aug) - RE-ENTRY,Hollow body hold arms overhead,3,18s,RPE6.5 (BW),JS-C - no ankle weights yet - they return W3,60s,,
2,Session (Fri 14 Aug) - RE-ENTRY,DB reverse wrist curl (wrist extension),2,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - forearm extensor balance,60s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
2,Session (Fri 14 Aug) - RE-ENTRY,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR,45s,,
2,Session (Fri 14 Aug) - RE-ENTRY,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,
,,,,,,,,,
3,Session (Fri 21 Aug - after hangboard),Weighted pull-ups,4,6,RPE7.5 (+8kg),JS-A - 3s eccentric - full maintenance working load - NO +9kg attempt (PR stays deferred to a peaking meso) - cut last set short if RPE passes 8,2min30s,,
3,Session (Fri 21 Aug - after hangboard),Lock-off hold @ 90°,3,12s per arm,RPE7.5 (26kg loading pin),JS-A - full working prescription,90s,,
3,Session (Fri 21 Aug - after hangboard),Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests - hip turnout for drop-knees,within JS-A rests,,
3,Session (Fri 21 Aug - after hangboard),DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load - maintenance meso: no load progression anywhere,90s,,
3,Session (Fri 21 Aug - after hangboard),Diamond push-ups,3,12,RPE7 (BW),JS-B - executable subset - standard volume,75s,,
3,Session (Fri 21 Aug - after hangboard),Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
3,Session (Fri 21 Aug - after hangboard),Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - working prescription - ankle weights back on,75s,,
3,Session (Fri 21 Aug - after hangboard),DB reverse wrist curl (wrist extension),2,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED - forearm extensor balance vs 2x hangboard weeks,60s,,
3,Session (Fri 21 Aug - after hangboard),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
3,Session (Fri 21 Aug - after hangboard),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR,45s,,
3,Session (Fri 21 Aug - after hangboard),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,
,,,,,,,,,
4,Session (Fri 28 Aug - after hangboard),Weighted pull-ups,4,6,RPE7.5 (+8kg),JS-A - 3s eccentric - deliberately identical to W3 - maintenance meso and climbing volume peaks this week so physical stays flat - NO +9kg attempt,2min30s,,
4,Session (Fri 28 Aug - after hangboard),Lock-off hold @ 90°,3,12s per arm,RPE7.5 (26kg loading pin),JS-A - full working prescription,90s,,
4,Session (Fri 28 Aug - after hangboard),Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests,within JS-A rests,,
4,Session (Fri 28 Aug - after hangboard),DB bench press,3,10,RPE7.5 (20kg per side),JS-B - tempo 3-0-1 - working load - no progression,90s,,
4,Session (Fri 28 Aug - after hangboard),Diamond push-ups,3,12,RPE7 (BW),JS-B - executable subset - standard volume,75s,,
4,Session (Fri 28 Aug - after hangboard),Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
4,Session (Fri 28 Aug - after hangboard),Hollow body hold arms overhead,3,22s,RPE7-7.5 (0.5kg ankle weights),JS-C - working prescription,75s,,
4,Session (Fri 28 Aug - after hangboard),DB reverse wrist curl (wrist extension),2,15 per side,RPE5 (2-3kg),JS-C - ANTAGONIST INTEGRATED,60s,,
4,Session (Fri 28 Aug - after hangboard),Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
4,Session (Fri 28 Aug - after hangboard),90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - supports fatigue-state footwork quality in AE peak week,45s,,
4,Session (Fri 28 Aug - after hangboard),Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session,45s,,
,,,,,,,,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Weighted pull-ups,3,5,RPE6.5 (+8kg),JS-A - 3s eccentric - working load kept - volume trimmed - mini-taper: hand off fresh to the autumn on-sight meso - the peak belongs to autumn,2min30s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Lock-off hold @ 90°,2,10s per arm,RPE6.5 (26kg loading pin),JS-A - working load - reduced sets and seconds,90s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Cossack squat (active),2,8 per side,RPE5 (BW),JS-A - MOBILITY INTEGRATED - filler during pull-up rests,within JS-A rests,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,DB bench press,2,8,RPE6 (18kg per side),JS-B - tempo 3-0-1 - light push - clean handoff - no heavy work this week,90s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Diamond push-ups,2,10,RPE6 (BW),JS-B - executable subset - pattern only,75s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Ankle dorsiflexion rockback,2,10 per side,RPE4 (BW),JS-B - MOBILITY INTEGRATED - filler during bench rests,within JS-B rests,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Hollow body hold arms overhead,3,18s,RPE6 (BW),JS-C - no ankle weights - quality only,60s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,DB reverse wrist curl (wrist extension),2,12 per side,RPE5 (2kg),JS-C - ANTAGONIST INTEGRATED - light,60s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),JS-D - shoulder antagonist/mobility,60s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,90/90 Hip Internal Rotation (active),2,30s per side,RPE4 (BW),JS-D - active hip IR - keep ROM for W5 on-sight simulation climbing,45s,,
5,Session (Mon 31 Aug - after hangboard) - CONSOLIDATION,Seated Bear + Rockback (active),2,30s per side,RPE4 (BW),JS-D - hip ER + abduction - closes the session and the meso,45s,,
