Week,Day,Exercise,Set,Rep,Load,Note,Rest,Numero Esecuzioni,Sforzo percepito
1,Session A,Weighted pull-ups,4,6,RPE7.5 (+6kg),JS-A - 3s eccentric - chin over bar - base load of cycle,2min30s,6;6;6;6,
1,Session A,Diamond push-ups,3,10,RPE7 (BW),JS-A - push antagonist between pull sets - body aligned - full ROM,90s,10;10;10,
1,Session A,Lock-off hold at 90°,3,10s per arm,RPE7 (25kg on loading pin),JS-B - depressed scapulae - no swinging - alternate arms,90s,"10"";10"";10""",
1,Session A,Hollow body hold arms overhead,3,18s,RPE7 (0.5kg ankle weights),JS-B - lower back flat to floor - arms locked overhead,90s,"18"";18"";18""",
1,Potenziamento 1,Frenchies,3,2 rep,RPE7.5: BW,Standalone - 1 rep = trazione + TOP 5'' + scendi a 90° + 5'' + scendi a 120° + 5'' + dead hang - re-introduzione pattern dopo singola esposizione in meso 1,3',"non fatti, causa cena lavoro",
1,Session A,TRX single-arm row,3,8 per side,RPE7,JS-C - 45 deg incline - full scapular squeeze - no momentum,90s,"non fatti, causa cena lavoro",
1,Session A,Dragon flag tuck,3,6,RPE7.5 (BW),JS-C - 3s eccentric - rigid body line from shoulders to knees,90s,"non fatti, causa cena lavoro",
,,,,,,,,,
1,Session B,Hollow body hold arms overhead,3,20s,RPE7 (0.5kg ankle weights),JS-A - max body tension - arms locked overhead,90s,20'';20'';20'',
1,Session B,DB bench press,3,10,RPE7 (18kg per side),JS-A - tempo 3-0-1 - hypertrophy emphasis - full ROM,90s,10;10;10,
1,Session B,Dragon flag tuck,3,6,RPE7 (BW),JS-B - 3s eccentric - controlled descent,90s,6;6;6,
1,Session B,TRX push-ups feet elevated,3,12,RPE6.5 (BW),JS-B - feet in TRX - body aligned - shoulder-friendly push,90s,12;12;12,
1,Session B,L-sit tuck,3,12s,RPE7 (BW),JS-C - hands on dumbbells - locked arms - depressed scapulae,60s,10;10;10,
1,Session B,DB overhead press seated,3,10,RPE7 (10kg per side),JS-C - controlled ROM - shoulder caution - hypertrophy stimulus,90s,9;9;10,
1,Session B,DB hammer curl alternating,3,10,RPE7 (10kg per side),No swing - peak contraction - brachialis hypertrophy,75s,10;10;10,
1,Session B,Wall slides + scapular CARs,2,8 slides + 8 CARs per shoulder,RPE5 (BW),Active shoulder mobility - finish session,60s,8+8;8+8,
,,,,,,,,,
2,Session A,Weighted pull-ups,4,6,RPE8 (+8kg),JS-A - 3s eccentric - chin over bar - +2kg progression from W1,2min30s,6;6;6;6,
2,Session A,Diamond push-ups,3,12,RPE7 (BW),JS-A - push antagonist - full ROM - +2 reps vs W1,90s,12;12;12,
2,Session A,Lock-off hold at 90°,3,12s per arm,RPE7.5 (26kg on loading pin),JS-B - depressed scapulae - +1kg and +2s vs W1,90s,12'';12'';12'',
2,Session A,Hollow body hold arms overhead,3,22s,RPE7.5 (0.5kg ankle weights),JS-B - max tension - +4s vs W1,90s,22'';22'';22'',
2,Session A,Frenchies,3,2 rep,RPE7.5 (BW),"[ADJUSTED Wk2] REVERTED to W1 prescription — Frenchies skipped in Wk1 (work dinner), no baseline to progress from. 1 rep = trazione + TOP 5'' + scendi a 90° + 5'' + scendi a 120° + 5'' + dead hang",3',non fatti,
2,Session A,Typewriter pull-ups,3,4 per side,RPE7.5 (BW),JS-C - full lateral ROM - control through center - chin over bar,2min,non fatti,
2,Session A,Dragon flag tuck,3,7,RPE7.5 (BW),JS-C - 3s eccentric - +1 rep vs W1,90s,non fatti,
,,,,,,,,,
2,Session B,Hollow body hold arms overhead,3,22s,RPE7 (0.5kg ankle weights),JS-A - full tension,90s,22'';22'';22'',
2,Session B,DB bench press,3,10,RPE7.5 (20kg per side),JS-A - tempo 3-0-1 - hypertrophy - +2kg vs W1,90s,10;10;10,
2,Session B,Dragon flag tuck,3,7,RPE7.5 (BW),JS-B - 3s eccentric - +1 rep vs W1,90s,7;7;7,
2,Session B,TRX push-ups feet elevated,3,15,RPE7 (BW),JS-B - +3 reps vs W1,90s,15;15;15,
2,Session B,L-sit tuck,3,12s,RPE7 (BW),"[ADJUSTED Wk2] Hold at 12s (= W1 target) — Wk1 eseguito a 10s vs 12s prescritto; clean up before progressing. Hands on dumbbells, locked arms, depressed scapulae",75s,12'';12'';18'' (by mistake),
2,Session B,DB overhead press seated,3,10,RPE7 (10kg per side),JS-C - controlled ROM - shoulder caution,90s,10;10;10,
2,Session B,Bent-over DB row,3,10,RPE7 (18kg per side),"[ADJUSTED Wk2 Fri] DROP this exercise — climbing-heavy block ahead (Sat outdoor PE + Sun easy + Mon crag + Tue crag = 4 climbing days in 5). Bent-over row is the highest pull-chain load in Session B; protecting back/lat for crag days takes priority. ALTERNATIVE: 1 set x 10 @ 14kg/side as pattern maintenance only, NOT a stimulus dose",90s,skipped,
2,Session B,DB hammer curl alternating,3,10,RPE7.5 (8kg per side),No swing - +1kg vs W1 - brachialis hypertrophy,75s,10;10;10,
2,Session B,Wall slides + scapular CARs,2,8 slides + 8 CARs per shoulder,RPE5 (BW),Active shoulder mobility - finish session,60s,8+8;8+8,
,,,,,,,,,
3,Session A (Thu),Weighted pull-ups,3,4,RPE6.5 (+6kg),"[RESTRUCTURED Wk3] Maintenance load — Mon/Tue are now crag days, peak Session A relocated to Thursday alongside peak hangboard. +9kg PR DEFERRED to future peaking mesocycle (priority = preserve weekend climbing). Pattern maintenance only, well below Wk2 working load",3min,4;4;4,
3,Session A (Thu),Diamond push-ups,3,10,RPE6 (BW),"[RESTRUCTURED Wk3] Maintenance volume — same as Wk1 baseline. Push antagonist work, low fatigue cost",90s,10;10;10,
3,Session A (Thu),Lock-off hold at 90°,3,10s per arm,RPE6 (22kg on loading pin),"[RESTRUCTURED Wk3] Maintenance — DOWN from Wk2 working load (was 26kg @ 12s). Pattern upkeep before Sat project, not a peak attempt",90s,"10"",10"",10""",
3,Session A (Thu),Hollow body hold arms overhead,3,18s,RPE6.5 (0.5kg ankle weights),[RESTRUCTURED Wk3] Maintenance — supports trunk stiffness for Sat project without competing with hangboard peak earlier in session,90s,18'';18'';18'',
3,Session A (Thu),Frenchies,0,SKIPPED,N/A,[RESTRUCTURED Wk3] SKIPPED — execution pattern in Wk1+Wk2 = consistently dropped. Not adding now in a climbing-loaded week. Reintroduce in next mesocycle with realistic positioning,,,
3,Session A (Thu),Typewriter pull-ups,0,SKIPPED,N/A,[RESTRUCTURED Wk3] SKIPPED — see Frenchies rationale; pull-chain protection for Sat project takes priority,,,
3,Session A (Thu),Dragon flag tuck,0,SKIPPED,N/A,[RESTRUCTURED Wk3] SKIPPED — see above,,,
,,,,,,,,,
3,Session B (Fri),Hollow body hold arms overhead,2,18s,RPE6 (BW),JS-A - maintenance only - reduced volume - no ankle weights,60s,"18"";18"";18""",
3,Session B (Fri),TRX push-ups feet elevated,2,12,RPE6 (BW),JS-A - maintenance push,60s,10;10;10,
3,Session B (Fri),L-sit tuck,2,12s,RPE6 (BW),JS-B - maintenance core,60s,12'';12'',
3,Session B (Fri),DB bench press,2,8,RPE6 (18kg per side),JS-B - light push - maintenance load,75s,8;8,
3,Session B (Fri),Dragon flag tuck,2,5,RPE6 (BW),JS-C - light core - eccentric control only,60s,5;5,
3,Session B (Fri),DB hammer curl alternating,2,10,RPE6 (6kg per side),JS-C - light arm work,60s,10;10,
3,Session B (Fri),Wall slides + scapular CARs,2,10 slides + 8 CARs per shoulder,RPE5 (BW),Active mobility - recovery focus,60s,10+8;10+8,
,,,,,,,,,
4,Session B,Hollow body hold arms overhead,3,18s,RPE5 (BW),JS-A - deload - no ankle weights - quality only,60s,18'';18'';18'',
4,Session B,TRX push-ups feet elevated,3,10,RPE6 (BW),JS-A - light push - shoulder-friendly,60s,10;10;10,
4,Session B,L-sit tuck,2,10s,RPE5 (BW),JS-B - light core - zero fatigue accumulation,60s,10'';10'',
4,Session B,DB bench press,2,8,RPE6 (18kg per side),JS-B - maintenance push only - no progression,75s,8;8,
4,Session B,Dragon flag tuck,2,5,RPE5 (BW),JS-C - light eccentric control - no pull-chain fatigue,60s,5;5,
4,Session B,DB hammer curl alternating,2,8,RPE6 (5kg per side),JS-C - light - no fatigue in pull chain,60s,8;8,
4,Session B,Wall slides + scapular CARs,3,10 slides + 8 CARs per shoulder,RPE5 (BW),Active mobility - primary goal: arrive at weekend with zero residual pull fatigue,60s,10+8;10+8;10+8,